eeschema (2013-may-18)-stable  >> Creation date: Út 5. listopad 2013, 21:33:32 CET
#Cmp ( order = Reference )
| CONN_1       P15       ; testpoint_pad;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P16       ; testpoint_pad;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P18       ; testpoint_pad;             ;             ;             ;             ;             ;             ;             ;             
| PDTC114EE    Q1        ; sc75        ;             ;             ;             ;             ;             ;             ;             ;             
| PDTC114EE    Q2        ; sc75        ;             ;             ;             ;             ;             ;             ;             ;             
| PDTA114YE    Q3        ; sc75        ;             ;             ;             ;             ;             ;             ;             ;             
| 22R          R15       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 22R          R16       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 100R         R54       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 120R         R17       ; r_0805      ;             ;             ;             ;             ;             ;             ;             ;             
| 180R         R52       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 220R         R27       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 220R         R28       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 220R         R31       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 220R         R32       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 220R         R53       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 220R         R60       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 330R         R45       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 330R         R47       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 330R         R55       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R1        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R2        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R3        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R4        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R5        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R6        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R7        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R8        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R9        ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R10       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R11       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R12       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R13       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R14       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R25       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R26       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R33       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R42       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R43       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R46       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R48       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R49       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R50       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R51       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R63       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R64       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R65       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 4k7          R18       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 4.7k         R40       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 4.7k         R41       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 4k7          R44       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 4k7          R58       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 4k7          R59       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 12k          R23       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 39k          R34       ; r_0402      ;             ;             ;             ;             ;             ;             ;             ;             
| 39k          R36       ; r_0402      ;             ;             ;             ;             ;             ;             ;             ;             
| 39k          R37       ; r_0402      ;             ;             ;             ;             ;             ;             ;             ;             
| 39k          R38       ; r_0402      ;             ;             ;             ;             ;             ;             ;             ;             
| 39k          R19       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 39k          R20       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 39k          R21       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 39k          R24       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 39k          R29       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 39k          R30       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 39k          R56       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 39k          R57       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 39k          R61       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 39k          R62       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 82k          R22       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 681k         R39       ; r_0603      ;             ;             ;             ;             ;             ;             ;             ;             
| 1M           R35       ; r_0402      ;             ;             ;             ;             ;             ;             ;             ;             
| STG719       SW1       ; sot23-6     ;             ;             ;             ;             ;             ;             ;             ;             
| MPU-6000     U10       ; dandys_qfn24;             ;             ;             ;             ;             ;             ;             ;             
| HMC5983      U11       ; lpcc-16     ;             ;             ;             ;             ;             ;             ;             ;             
| STM32F303CC  U8        ; lqfp48      ;             ;             ;             ;             ;             ;             ;             ;             
| MS5611       U9        ; MS5611      ;             ;             ;             ;             ;             ;             ;             ;             
| SN65HVD233   U3        ; so-8        ;             ;             ;             ;             ;             ;             ;             ;             
| EL1883       U6        ; so-8        ;             ;             ;             ;             ;             ;             ;             ;             
| LTC4411      U2        ; sot23-5     ;             ;             ;             ;             ;             ;             ;             ;             
| ADP3338AKCZ-3.3 U4        ; stabil_sot223_1;             ;             ;             ;             ;             ;             ;             ;             
| STM32F405VG  U7        ; TQFP-100    ;             ;             ;             ;             ;             ;             ;             ;             
| LT1761-3.3   U5        ; tsot-5      ;             ;             ;             ;             ;             ;             ;             ;             
| XBEE         U1        ; xbee-smt    ;             ;             ;             ;             ;             ;             ;             ;             
| 8MHz         X1        ; crystal_smd_5x3.2mm;             ;             ;             ;             ;             ;             ;             ;             
| 8MHz         X2        ; crystal_smd_5x3.2mm;             ;             ;             ;             ;             ;             ;             ;             
#Konec Cmp

#Konec seznamu
